"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1518,"TX",68631,"5/11/16","Hacking/IT Incident","Network Server","No"
1519,"AR",2602,"5/12/16","Unauthorized Access/Disclosure","Email","No"
1520,"CA",649,"5/13/16","Theft","Laptop","No"
1521,"CA",4e+05,"5/15/16","Theft","Laptop","No"
1522,"KY",971,"5/16/16","Theft","Laptop, Other Portable Electronic Device","No"
1523,"AL",9009,"5/16/16","Theft","Laptop","Yes"
1524,"NM",12500,"5/17/16","Hacking/IT Incident","Desktop Computer","No"
1525,"MI",4082,"5/17/16","Hacking/IT Incident","Desktop Computer, Network Server","No"
1526,"AZ",1067,"5/19/16","Theft","Paper/Films","No"
1527,"FL",505,"5/20/16","Hacking/IT Incident","Other","No"
1528,"OH",591,"5/20/16","Unauthorized Access/Disclosure","Paper/Films","No"
1529,"GA",930,"5/20/16","Unauthorized Access/Disclosure","Paper/Films","No"
1530,"CA",1370,"5/24/16","Unauthorized Access/Disclosure","Email","Yes"
1531,"PA",800,"5/24/16","Theft","Electronic Medical Record, Paper/Films","No"
1532,"PA",19776,"5/25/16","Hacking/IT Incident","Electronic Medical Record, Network Server","No"
1533,"CA",4386,"5/25/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1534,"CT",40491,"5/25/16","Hacking/IT Incident","Network Server","No"
1535,"MI",771,"5/26/16","Unauthorized Access/Disclosure","Paper/Films","No"
1536,"DC",1062,"5/31/16","Theft","Paper/Films","No"
1537,"AR",16200,"5/31/16","Hacking/IT Incident","Network Server","No"
1538,"FL",2500,"6/1/16","Hacking/IT Incident","Network Server","Yes"
1539,"NM",2827,"6/3/16","Unauthorized Access/Disclosure","Paper/Films","No"
1540,"MO",3000,"6/3/16","Hacking/IT Incident","Electronic Medical Record, Network Server","No"
1541,"CO",2250,"6/7/16","Hacking/IT Incident","Electronic Medical Record","No"
1542,"TN",6853,"6/7/16","Hacking/IT Incident","Network Server","No"
1543,"TX",1468,"6/7/16","Unauthorized Access/Disclosure","Paper/Films","No"
1544,"AR",27393,"6/8/16","Unauthorized Access/Disclosure","Paper/Films","No"
1545,"MI",22000,"6/9/16","Unauthorized Access/Disclosure","Network Server","No"
1546,"SC",1437,"6/9/16","Unauthorized Access/Disclosure","Paper/Films","No"
1547,"KY",1682,"6/10/16","Unauthorized Access/Disclosure","Email","No"
1548,"OH",6441,"6/10/16","Hacking/IT Incident","Network Server","No"
1549,"VA",578,"6/10/16","Unauthorized Access/Disclosure","Paper/Films","No"
1550,"MO",31000,"6/14/16","Hacking/IT Incident","Network Server","No"
1551,"CA",1212,"6/14/16","Improper Disposal","Paper/Films","No"
1552,"TX",600,"6/14/16","Loss","Paper/Films","No"
1553,"CO",6851,"6/17/16","Hacking/IT Incident","Network Server","No"
1554,"TX",717,"6/17/16","Unauthorized Access/Disclosure","Paper/Films","No"
1555,"NC",13674,"6/21/16","Hacking/IT Incident","Network Server","No"
1556,"NY",650,"6/27/16","Unauthorized Access/Disclosure","Email","No"
1557,"VA",2000,"6/27/16","Improper Disposal","Other Portable Electronic Device","No"
1558,"MA",4293,"6/29/16","Hacking/IT Incident","Network Server","No"
1559,"CA",520,"6/29/16","Unauthorized Access/Disclosure","Other","No"
1560,"IA",2506,"7/1/16","Unauthorized Access/Disclosure","Paper/Films","No"
1561,"PA",13000,"7/7/16","Hacking/IT Incident","Network Server","No"
1562,"MD",1350,"7/7/16","Hacking/IT Incident","Electronic Medical Record","No"
1563,"AR",17100,"7/11/16","Hacking/IT Incident","Network Server","No"
1564,"TN",1100,"7/11/16","Hacking/IT Incident","Other","No"
1565,"CO",1835,"7/11/16","Unauthorized Access/Disclosure","Email","No"
1566,"CA",1136,"7/12/16","Theft","Other Portable Electronic Device","No"
1567,"OH",850,"7/14/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1568,"FL",1479,"7/14/16","Unauthorized Access/Disclosure","Email","No"
1569,"MN",1945,"7/14/16","Hacking/IT Incident","Network Server","No"
1570,"CA",2473,"7/15/16","Hacking/IT Incident","Electronic Medical Record","No"
1571,"OR",5978,"7/15/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1572,"FL",2500,"7/19/16","Theft","Paper/Films","No"
1573,"MD",4831,"7/20/16","Hacking/IT Incident","Other","No"
1574,"TX",1326,"7/20/16","Unauthorized Access/Disclosure","Paper/Films","No"
1575,"CA",2000,"7/20/16","Theft","Laptop","No"
1576,"TX",12061,"7/20/16","Unauthorized Access/Disclosure","Paper/Films","No"
1577,"OH",7784,"7/21/16","Theft","Paper/Films","Yes"
1578,"DE",1679,"7/22/16","Unauthorized Access/Disclosure","Email, Other Portable Electronic Device","Yes"
1579,"TX",697,"7/22/16","Unauthorized Access/Disclosure","Email","No"
1580,"AL",7200,"7/25/16","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No"
1581,"TX",2844,"7/25/16","Theft","Laptop, Paper/Films","No"
1582,"MO",29153,"7/26/16","Hacking/IT Incident","Network Server","No"
1583,"AZ",854,"7/28/16","Theft","Laptop","No"
1584,"GA",201000,"7/29/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1585,"MS",10401,"7/29/16","Hacking/IT Incident","Network Server","No"
1586,"AZ",3620000,"8/3/16","Hacking/IT Incident","Network Server, Other","No"
1587,"IL",1185,"8/4/16","Unauthorized Access/Disclosure","Network Server","No"
1588,"PA",992,"8/5/16","Unauthorized Access/Disclosure","Email","No"
1589,"MO",23015,"8/7/16","Hacking/IT Incident","Network Server","No"
1590,"VA",13237,"8/9/16","Hacking/IT Incident","Network Server","No"
1591,"NY",3466120,"8/9/16","Hacking/IT Incident","Network Server","Yes"
1592,"IL",533,"8/10/16","Unauthorized Access/Disclosure","Email","No"
1593,"MD",907,"8/10/16","Unauthorized Access/Disclosure","Email","No"
1594,"FL",957,"8/11/16","Unauthorized Access/Disclosure","Paper/Films","No"
1595,"AZ",882590,"8/12/16","Hacking/IT Incident","Network Server","No"
1596,"MD",651971,"8/12/16","Unauthorized Access/Disclosure","Network Server","No"
1597,"CA",1025,"8/14/16","Theft","Other Portable Electronic Device","No"
1598,"TN",500,"8/15/16","Theft","Paper/Films","No"
1599,"NY",21880,"8/15/16","Hacking/IT Incident","Network Server","No"
1600,"IL",688,"8/18/16","Unauthorized Access/Disclosure","Email","No"
1601,"IN",6890,"8/19/16","Hacking/IT Incident","Network Server","No"
1602,"NC",1000,"8/19/16","Loss","Other Portable Electronic Device","No"
1603,"CA",87069,"8/22/16","Unauthorized Access/Disclosure","Other","No"
1604,"CA",1000,"8/22/16","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
1605,"KY",674,"8/23/16","Unauthorized Access/Disclosure","Email","No"
1606,"WA",10700,"8/26/16","Unauthorized Access/Disclosure","Email","No"
1607,"CA",743,"8/30/16","Theft","Paper/Films","No"
1608,"OR",1980,"8/30/16","Hacking/IT Incident","Network Server","No"
1609,"LA",824,"8/31/16","Hacking/IT Incident","Desktop Computer","No"
1610,"TX",625,"8/31/16","Theft","Other","No"
1611,"WA",18399,"9/1/16","Unauthorized Access/Disclosure","Network Server","No"
1612,"CA",25000,"9/2/16","Unauthorized Access/Disclosure","Paper/Films","No"
1613,"MO",7748,"9/2/16","Unauthorized Access/Disclosure","Email","No"
1614,"WI",3179,"9/2/16","Hacking/IT Incident","Email","No"
1615,"PA",2814,"9/7/16","Unauthorized Access/Disclosure","Other","No"
1616,"KS",707,"9/7/16","Theft","Paper/Films","No"
1617,"RI",15478,"9/8/16","Hacking/IT Incident","Network Server","No"
1618,"MD",860,"9/8/16","Hacking/IT Incident","Desktop Computer, Electronic Medical Record","No"
1619,"AL",1349,"9/9/16","Unauthorized Access/Disclosure","Network Server","No"
1620,"GA",1000,"9/9/16","Theft","Paper/Films","No"
1621,"OR",2400,"9/9/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1622,"CA",1400,"9/9/16","Theft","Laptop","No"
1623,"MA",3840,"9/12/16","Unauthorized Access/Disclosure","Desktop Computer","No"
1624,"CA",2029,"9/12/16","Loss","Paper/Films","No"
1625,"PA",16228,"9/13/16","Hacking/IT Incident","Network Server","No"
1626,"SC",812,"9/15/16","Unauthorized Access/Disclosure","Paper/Films","No"
1627,"WA",2818,"9/16/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1628,"PA",1456,"9/19/16","Loss","Paper/Films","No"
1629,"CA",777,"9/20/16","Unauthorized Access/Disclosure","Paper/Films","No"
1630,"MI",1000,"9/21/16","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Other","No"
1631,"CA",16000,"9/21/16","Hacking/IT Incident","Network Server","No"
1632,"NJ",28000,"9/22/16","Hacking/IT Incident","Electronic Medical Record, Network Server","No"
1633,"KY",1500,"9/23/16","Hacking/IT Incident","Network Server","No"
1634,"CA",6000,"9/23/16","Hacking/IT Incident","Desktop Computer","No"
1635,"OH",3e+05,"9/23/16","Hacking/IT Incident","Network Server","No"
1636,"WA",668,"9/23/16","Unauthorized Access/Disclosure","Paper/Films","No"
1637,"CA",2933,"9/26/16","Hacking/IT Incident","Network Server","No"
1638,"CA",2292,"9/27/16","Hacking/IT Incident","Network Server","No"
1639,"GA",10891,"9/28/16","Unauthorized Access/Disclosure","Desktop Computer","No"
1640,"NM",500,"9/29/16","Hacking/IT Incident","Network Server","No"
1641,"TN",9624,"9/29/16","Theft","Laptop","No"
1642,"MS",64000,"9/30/16","Hacking/IT Incident","Network Server","No"
1643,"WI",6923,"9/30/16","Unauthorized Access/Disclosure","Paper/Films","No"
1644,"TX",33698,"10/3/16","Hacking/IT Incident","Network Server","No"
1645,"AZ",14236,"10/4/16","Hacking/IT Incident","Network Server","No"
1646,"CA",1987,"10/4/16","Unauthorized Access/Disclosure","Email","No"
1647,"AR",2124,"10/5/16","Unauthorized Access/Disclosure","Other","No"
1648,"CA",2245,"10/7/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1649,"IL",540,"10/7/16","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
1650,"OK",2938,"10/7/16","Hacking/IT Incident","Network Server","No"
1651,"IL",992,"10/10/16","Unauthorized Access/Disclosure","Email","No"
1652,"IN",1466,"10/14/16","Hacking/IT Incident","Email, Network Server","No"
1653,"IN",7242,"10/14/16","Theft","Laptop","Yes"
