"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1248,"TX",39000,"4/24/15","Hacking/IT Incident","Email","No"
1249,"TN",1726,"4/24/15","Improper Disposal","Other, Paper/Films","No"
1250,"OH",2000,"4/27/15","Unauthorized Access/Disclosure","Paper/Films","No"
1251,"TX",880,"4/27/15","Hacking/IT Incident","Network Server","No"
1252,"KS",864,"4/28/15","Loss","Paper/Films","No"
1253,"IL",3000,"4/28/15","Theft","Laptop","No"
1254,"CA",4885,"4/28/15","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device","No"
1255,"NY",3334,"4/28/15","Unauthorized Access/Disclosure","Email","No"
1256,"NY",90060,"4/28/15","Unauthorized Access/Disclosure","Email","No"
1257,"CA",880,"4/29/15","Theft","Paper/Films","No"
1258,"MA",3321,"5/1/15","Hacking/IT Incident","Network Server","No"
1259,"IL",1138,"5/1/15","Loss","Paper/Films","No"
1260,"CA",1339,"5/6/15","Loss","Paper/Films","No"
1261,"PA",2259,"5/15/15","Theft","Other","No"
1262,"NC",20512,"5/15/15","Theft","Other","Yes"
1263,"OH",981,"5/15/15","Hacking/IT Incident","Desktop Computer","No"
1264,"GA",6166,"5/15/15","Unauthorized Access/Disclosure","Paper/Films","No"
1265,"MN",4725,"5/18/15","Theft","Laptop","No"
1266,"IL",632,"5/19/15","Unauthorized Access/Disclosure","Desktop Computer","No"
1267,"CA",1342,"5/19/15","Theft","Desktop Computer, Laptop, Paper/Films","Yes"
1268,"FL",506,"5/20/15","Theft","Laptop","No"
1269,"MD",1100000,"5/20/15","Hacking/IT Incident","Network Server","No"
1270,"IL",8300,"5/21/15","Unauthorized Access/Disclosure","Paper/Films","No"
1271,"IN",306789,"5/22/15","Hacking/IT Incident","Email","No"
1272,"NY",3403,"5/22/15","Unauthorized Access/Disclosure","Paper/Films","No"
1273,"NY",567,"5/28/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1274,"NY",3957,"6/1/15","Unauthorized Access/Disclosure","Email","No"
1275,"OR",14000,"6/1/15","Theft","Laptop","No"
1276,"CA",995,"6/3/15","Theft","Laptop","Yes"
1277,"SC",50000,"6/4/15","Improper Disposal","Other Portable Electronic Device","No"
1278,"CA",1170,"6/4/15","Theft","Desktop Computer, Other Portable Electronic Device, Paper/Films","No"
1279,"CA",6871,"6/5/15","Theft","Network Server, Other","No"
1280,"MO",503,"6/9/15","Unauthorized Access/Disclosure","Other","No"
1281,"MD",500,"6/9/15","Unauthorized Access/Disclosure","Other, Paper/Films","No"
1282,"CA",843,"6/9/15","Unauthorized Access/Disclosure","Network Server","No"
1283,"CT",2722,"6/10/15","Theft","Laptop","No"
1284,"NV",12000,"6/10/15","Theft","Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device","No"
1285,"TX",6600,"6/11/15","Unauthorized Access/Disclosure","Network Server","No"
1286,"TX",18213,"6/12/15","Theft","Laptop","Yes"
1287,"LA",3000,"6/15/15","Theft","Desktop Computer, Electronic Medical Record, Laptop","No"
1288,"CA",4859,"6/17/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1289,"NY",4223,"6/19/15","Unauthorized Access/Disclosure","Other","No"
1290,"IL",2860,"6/24/15","Hacking/IT Incident","Network Server","Yes"
1291,"NY",509,"6/25/15","Theft","Electronic Medical Record","No"
1292,"RI",12914,"6/26/15","Theft","Desktop Computer","No"
1293,"MD",1029,"6/26/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1294,"PA",722,"7/2/15","Unauthorized Access/Disclosure","Email","No"
1295,"FL",3421,"7/2/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1296,"OK",7693,"7/3/15","Theft","Laptop","No"
1297,"MI",7666,"7/3/15","Hacking/IT Incident","Network Server","No"
1298,"GA",2983,"7/8/15","Unauthorized Access/Disclosure","Email","No"
1299,"MA",648,"7/8/15","Unauthorized Access/Disclosure","Email","No"
1300,"FL",7549,"7/10/15","Unauthorized Access/Disclosure","Paper/Films","No"
1301,"NY",621,"7/10/15","Loss","Paper/Films","No"
1302,"MN",601,"7/13/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1303,"AZ",633,"7/14/15","Loss","Other Portable Electronic Device","No"
1304,"AR",560,"7/14/15","Theft","Desktop Computer","No"
1305,"CA",4500000,"7/17/15","Hacking/IT Incident","Network Server","No"
1306,"MD",1475,"7/20/15","Hacking/IT Incident","Network Server","No"
1307,"NY",12517,"7/22/15","Theft","Desktop Computer, Electronic Medical Record","No"
1308,"IN",3900000,"7/23/15","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes"
1309,"MT",6500,"7/24/15","Unauthorized Access/Disclosure","Paper/Films","No"
1310,"NY",5338,"7/24/15","Hacking/IT Incident","Electronic Medical Record","No"
1311,"CT",855,"7/24/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1312,"MA",12673,"7/28/15","Loss","Other Portable Electronic Device","No"
1313,"CA",1494,"7/29/15","Unauthorized Access/Disclosure","Laptop","Yes"
1314,"MA",1651,"7/29/15","Unauthorized Access/Disclosure","Paper/Films","No"
1315,"SD",1111,"7/30/15","Loss","Paper/Films","No"
1316,"SD",13000,"7/31/15","Hacking/IT Incident","Network Server","No"
1317,"CA",69246,"7/31/15","Theft","Laptop","No"
1318,"CA",9000,"8/3/15","Theft","Desktop Computer, Laptop","No"
1319,"SD",1168,"8/4/15","Unauthorized Access/Disclosure","Paper/Films","No"
1320,"MA",2071,"8/5/15","Loss","Other Portable Electronic Device","No"
1321,"KY",2060,"8/7/15","Unauthorized Access/Disclosure","Email","No"
1322,"VT",2000,"8/7/15","Theft","Laptop, Other Portable Electronic Device","No"
1323,"TX",1004,"8/7/15","Theft","Other Portable Electronic Device, Paper/Films","No"
1324,"IL",8345,"8/7/15","Unauthorized Access/Disclosure","Paper/Films","No"
1325,"OH",1400,"8/14/15","Unauthorized Access/Disclosure","Other","No"
1326,"WA",1426,"8/17/15","Loss","Paper/Films","No"
1327,"CO",1622,"8/18/15","Unauthorized Access/Disclosure","Paper/Films","No"
1328,"MN",160000,"8/20/15","Theft","Laptop","No"
1329,"IL",10000,"8/21/15","Hacking/IT Incident","Network Server","No"
1330,"OR",1500,"8/21/15","Unauthorized Access/Disclosure","Email","No"
1331,"FL",13000,"8/24/15","Theft","Paper/Films","No"
1332,"CA",1200,"8/24/15","Theft","Desktop Computer, Laptop, Network Server, Other Portable Electronic Device","No"
1333,"OH",7664,"8/26/15","Loss","Other Portable Electronic Device","No"
1334,"CA",2000,"8/26/15","Theft","Desktop Computer","No"
1335,"MS",846,"8/26/15","Theft","Electronic Medical Record","No"
1336,"GA",800,"8/27/15","Unauthorized Access/Disclosure","Paper/Films","No"
1337,"MN",1450,"8/31/15","Theft","Laptop","No"
1338,"CA",1242,"9/1/15","Theft","Laptop","No"
1339,"FL",1508,"9/7/15","Unauthorized Access/Disclosure","Paper/Films","No"
1340,"MI",16107,"9/9/15","Hacking/IT Incident","Email","No"
1341,"NY",1e+07,"9/9/15","Hacking/IT Incident","Network Server","No"
1342,"NC",807,"9/11/15","Unauthorized Access/Disclosure","Paper/Films","No"
1343,"NC",1530,"9/11/15","Unauthorized Access/Disclosure","Paper/Films","No"
1344,"CA",2302,"9/11/15","Unauthorized Access/Disclosure","Email","No"
1345,"NY",721,"9/14/15","Unauthorized Access/Disclosure","Paper/Films","No"
1346,"LA",14500,"9/15/15","Theft","Laptop","No"
1347,"IL",501,"9/17/15","Theft","Paper/Films","No"
1348,"CA",54203,"9/18/15","Theft","Desktop Computer","No"
1349,"VA",3650,"9/21/15","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No"
1350,"AZ",3311,"9/21/15","Unauthorized Access/Disclosure","Paper/Films","No"
1351,"IL",1009,"9/24/15","Theft","Laptop, Other","No"
1352,"AZ",2100,"9/24/15","Theft","Laptop","Yes"
1353,"NJ",1173,"9/24/15","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No"
1354,"CA",857,"9/25/15","Unauthorized Access/Disclosure","Network Server","No"
1355,"CA",1125,"9/25/15","Theft","Desktop Computer","No"
1356,"KY",2815,"9/30/15","Theft","Laptop, Paper/Films","No"
1357,"AR",6500,"10/1/15","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1358,"VA",1040,"10/2/15","Theft","Other Portable Electronic Device","No"
1359,"MI",2918,"10/8/15","Theft","Paper/Films","Yes"
1360,"MD",2208,"10/8/15","Unauthorized Access/Disclosure","Paper/Films","No"
1361,"OK",4278,"10/9/15","Hacking/IT Incident","Email","No"
1362,"MD",571,"10/9/15","Theft","Laptop","No"
1363,"MO",643,"10/9/15","Unauthorized Access/Disclosure","Paper/Films","No"
